user_id,video_id,pred_score
U0001,V0012,0.9301191612762703
U0001,V0019,0.9260123055406893
U0001,V0045,0.9172765678994325
U0001,V0032,0.912907048499772
U0001,V0446,0.9120274955839752
U0001,V0029,0.907255347700876
U0001,V0050,0.9072257112866405
U0001,V0976,0.9064417064114756
U0001,V0109,0.9025846102692437
U0001,V0279,0.8977300276658428
U0002,V0012,0.9891174055106695
U0002,V0030,0.9878483103253358
U0002,V0050,0.9848786801013293
U0002,V0725,0.9836531291184549
U0002,V0976,0.9831437987861206
U0002,V0637,0.9819639879139517
U0002,V0182,0.9815481918832307
U0002,V0032,0.98115811027392
U0002,V0279,0.9811185888109728
U0002,V0316,0.9799799560814062
U0003,V0030,0.9871978925313005
U0003,V0050,0.9863470778317496
U0003,V0019,0.9855435936934592
U0003,V0048,0.9841841537942613
U0003,V0976,0.9840816379117802
U0003,V0725,0.9835021498856055
U0003,V0279,0.9822186678002539
U0003,V0026,0.9812907729905866
U0003,V0013,0.9809623602756866
U0003,V0753,0.9809192909536153
U0004,V0030,0.9884032337705881
U0004,V0976,0.9850129333324232
U0004,V0019,0.9850015165020645
U0004,V0029,0.9836049200793537
U0004,V0725,0.9835995015473638
U0004,V0003,0.9816920146415862
U0004,V0010,0.9816283487169954
U0004,V0316,0.9808872465739483
U0004,V0637,0.9807671805831335
U0004,V0182,0.9803243466047986
U0005,V0030,0.9527177388197551
U0005,V0002,0.941231947530508
U0005,V0045,0.9403850311570638
U0005,V0976,0.9374641127332413
U0005,V0026,0.9357761444852116
U0005,V0032,0.9305081975214833
U0005,V0109,0.9215168828975684
U0005,V0029,0.915558029668783
U0005,V0018,0.9126258955607486
U0005,V0023,0.9103023523584902
U0006,V0030,0.9101466778330939
U0006,V0045,0.8780513726354034
U0006,V0019,0.8552317542789211
U0006,V0019,0.838861556864794
U0006,V0446,0.8281411592275748
U0006,V0003,0.8115995609301088
U0006,V0097,0.8023341114358492
U0006,V0029,0.8016500013306778
U0006,V0050,0.8004892182714378
U0006,V0030,0.7955567546291458
U0007,V0030,0.8240867245990462
U0007,V0446,0.8199936486387239
U0007,V0003,0.811382541561219
U0007,V0019,0.8110956834657874
U0007,V0050,0.7914499353559399
U0007,V0021,0.787877621892116
U0007,V0048,0.784560850294342
U0007,V0717,0.7843522604327889
U0007,V0025,0.7835937765689671
U0007,V0312,0.7835937765689671
U0008,V0030,0.9891602508758647
U0008,V0045,0.9867642606267638
U0008,V0026,0.9867115555743802
U0008,V0725,0.9854113077744365
U0008,V0976,0.9847463194788317
U0008,V0050,0.9838697470697346
U0008,V0637,0.9828864367462755
U0008,V0182,0.9824915273635181
U0008,V0097,0.9822141234944599
U0008,V0316,0.9821260220789118
U0009,V0012,0.9903445693745483
U0009,V0030,0.9895177984431276
U0009,V0976,0.984356648271539
U0009,V0725,0.9841061896592279
U0009,V0026,0.9835231531252292
U0009,V0279,0.9830216995984752
U0009,V0753,0.9828372130003156
U0009,V0316,0.9806192803076871
U0009,V0003,0.9801553794432081
U0009,V0446,0.9776892640413101
U0010,V0030,0.9889598644223581
U0010,V0976,0.9865338799535331
U0010,V0725,0.9844947586883908
U0010,V0050,0.9837029443608257
U0010,V0026,0.9832833295321367
U0010,V0003,0.9830368328333552
U0010,V0029,0.9817849838584856
U0010,V0316,0.9810914587364873
U0010,V0032,0.979854282002873
U0010,V0279,0.9783125947452621
U0011,V0012,0.951038368932066
U0011,V0019,0.948773408576663
U0011,V0045,0.9389670391272447
U0011,V0976,0.933945520198123
U0011,V0032,0.9338433570467126
U0011,V0109,0.9278894658225944
U0011,V0003,0.9243317119708734
U0011,V0236,0.9051971228783867
U0011,V0493,0.9051971228783867
U0011,V0023,0.9001946662746194
U0012,V0279,0.9855852803546206
U0012,V0019,0.9852741847742194
U0012,V0725,0.9847297828569409
U0012,V0753,0.9847129593874707
U0012,V0446,0.9823517552935566
U0012,V0976,0.982138902783381
U0012,V0029,0.9811192270682945
U0012,V0003,0.9807163626865112
U0012,V0006,0.9806761135359437
U0012,V0316,0.9804288039293959
U0013,V0012,0.9886633643915432
U0013,V0030,0.9873841060745443
U0013,V0019,0.9839884485775993
U0013,V0725,0.9837412346449521
U0013,V0279,0.9831319146089532
U0013,V0976,0.9823129719463211
U0013,V0753,0.9821138201566124
U0013,V0034,0.9808265622388074
U0013,V0446,0.9793864236724872
